run_id,round_id,polymer_id,source_run_id,source_plate_id,denominator_source,source_fog,source_log_fog
fog_plate_aware_sync_2026-02-14,R3,PMBTA-11,260209-2,plate2,same_round,0.9474843231400978,-0.053944887661011444
fog_plate_aware_sync_2026-02-14,R3,PMBTA-6,260209-2,plate2,same_round,0.7933862231215105,-0.23144513540670203
fog_plate_aware_sync_2026-02-14,R3,PMBTA-7,260209-2,plate2,same_round,0.7003656514241088,-0.3561527211434976
fog_plate_aware_sync_2026-02-14,R3,PMBTA-8,260209-2,plate2,same_round,0.7141927763061692,-0.3366023582580291
fog_plate_aware_sync_2026-02-14,R3,PMBTA-9,260209-2,plate2,same_round,0.8348800536949995,-0.18046721271914404
fog_plate_aware_sync_2026-02-14,R3,PMTAC,260209-2,plate2,same_round,0.9086047415884811,-0.09584510710509624
fog_plate_aware_sync_2026-02-14,R3,background,260209-2,plate2,same_round,0.045136671831820116,-3.098060240221872
fog_plate_aware_sync_2026-02-14,R3,GOx with DMSO,260209-3,plate1,same_plate,0.9660978059975991,-0.03449020145017733
fog_plate_aware_sync_2026-02-14,R3,PMBTA-1,260209-3,plate1,same_plate,0.9170823499772536,-0.08655800707484416
fog_plate_aware_sync_2026-02-14,R3,PMBTA-2,260209-3,plate1,same_plate,0.9204707694095403,-0.08287003393592467
fog_plate_aware_sync_2026-02-14,R3,PMBTA-3,260209-3,plate1,same_plate,1.0259987186147352,0.025666497834284485
fog_plate_aware_sync_2026-02-14,R3,PMBTA-4,260209-3,plate1,same_plate,1.3610245266951113,0.30823774459079495
fog_plate_aware_sync_2026-02-14,R3,PMBTA-5,260209-3,plate1,same_plate,0.9954622344857329,-0.0045480924247728455
fog_plate_aware_sync_2026-02-14,R3,PMPC,260209-3,plate1,same_plate,1.4302704969241857,0.35786358507180877
fog_plate_aware_sync_2026-02-14,R3,PMBTA-10,260209-3,plate2,same_round,0.9854353762685449,-0.014671729102080734
fog_plate_aware_sync_2026-02-14,R3,PMBTA-11,260209-3,plate2,same_round,1.0855567259735068,0.08209296689205263
fog_plate_aware_sync_2026-02-14,R3,PMBTA-6,260209-3,plate2,same_round,0.6091228392500889,-0.4957353251260695
fog_plate_aware_sync_2026-02-14,R3,PMBTA-7,260209-3,plate2,same_round,0.8142857521817974,-0.20544392767576045
fog_plate_aware_sync_2026-02-14,R3,PMBTA-8,260209-3,plate2,same_round,0.6925566067699661,-0.36736530163328013
fog_plate_aware_sync_2026-02-14,R3,PMBTA-9,260209-3,plate2,same_round,0.7707394912450576,-0.26040484676220704
fog_plate_aware_sync_2026-02-14,R3,PMTAC,260209-3,plate2,same_round,0.6350940289524789,-0.45398221396125765
fog_plate_aware_sync_2026-02-14,R3,background,260209-3,plate2,same_round,0.05172252914670042,-2.961861825525815
fog_plate_aware_sync_2026-02-14,R3,GOx with DMSO,260211-1,plate1,same_plate,1.0611349532389203,0.059339045924966805
fog_plate_aware_sync_2026-02-14,R3,GOx with EtOH,260211-1,plate1,same_plate,0.9524331125306018,-0.04873539751202086
fog_plate_aware_sync_2026-02-14,R3,PMBTA-1,260211-1,plate1,same_plate,0.8514149181261685,-0.1608557038644848
fog_plate_aware_sync_2026-02-14,R3,PMBTA-2,260211-1,plate1,same_plate,0.8959914759197377,-0.10982437953489563
fog_plate_aware_sync_2026-02-14,R3,PMBTA-3,260211-1,plate1,same_plate,1.1206981042077673,0.1139517984600371
fog_plate_aware_sync_2026-02-14,R3,PMBTA-4,260211-1,plate1,same_plate,0.9760757901125346,-0.02421504178011863
fog_plate_aware_sync_2026-02-14,R3,PMBTA-5,260211-1,plate1,same_plate,0.9867359997428914,-0.013352752791274942
fog_plate_aware_sync_2026-02-14,R3,PMBTA-10,260211-1,plate2,same_round,0.8953819081288747,-0.11050493873022389
fog_plate_aware_sync_2026-02-14,R3,PMBTA-11,260211-1,plate2,same_round,1.3083049620156393,0.26873237724754945
fog_plate_aware_sync_2026-02-14,R3,PMBTA-6,260211-1,plate2,same_round,0.8453498811562297,-0.16800467678445613
fog_plate_aware_sync_2026-02-14,R3,PMBTA-7,260211-1,plate2,same_round,0.7507053413006024,-0.2867420593351098
fog_plate_aware_sync_2026-02-14,R3,PMBTA-8,260211-1,plate2,same_round,0.7243719443147268,-0.3224502832718561
fog_plate_aware_sync_2026-02-14,R3,PMBTA-9,260211-1,plate2,same_round,0.8889077120061196,-0.11776185987370735
fog_plate_aware_sync_2026-02-14,R3,PMPC,260211-1,plate2,same_round,1.118407134296342,0.11190547149739728
fog_plate_aware_sync_2026-02-14,R3,PMTAC,260211-1,plate2,same_round,1.9299688399939734,0.6575038577056181
fog_plate_aware_sync_2026-02-14,R3,GOx with DMSO,260211-2,plate1,same_plate,0.9495204890832504,-0.05179817014929253
fog_plate_aware_sync_2026-02-14,R3,GOx with EtOH,260211-2,plate1,same_plate,0.8912660348826308,-0.11511231596231344
fog_plate_aware_sync_2026-02-14,R3,PMBTA-1,260211-2,plate1,same_plate,0.863715118929397,-0.14651228801015984
fog_plate_aware_sync_2026-02-14,R3,PMBTA-2,260211-2,plate1,same_plate,0.8485762107969449,-0.16419538007734447
fog_plate_aware_sync_2026-02-14,R3,PMBTA-3,260211-2,plate1,same_plate,0.9166490190771217,-0.0870306290908175
fog_plate_aware_sync_2026-02-14,R3,PMBTA-4,260211-2,plate1,same_plate,0.9708517692901263,-0.029581480129855692
fog_plate_aware_sync_2026-02-14,R3,PMBTA-5,260211-2,plate1,same_plate,1.0142944196266372,0.014193217685612436
fog_plate_aware_sync_2026-02-14,R3,PMBTA-10,260211-2,plate2,same_round,1.7303160086119465,0.5483040557662031
fog_plate_aware_sync_2026-02-14,R3,PMBTA-11,260211-2,plate2,same_round,1.1619460413516305,0.15009622133744704
fog_plate_aware_sync_2026-02-14,R3,PMBTA-6,260211-2,plate2,same_round,1.0022991315607754,0.0022964926019102758
fog_plate_aware_sync_2026-02-14,R3,PMBTA-7,260211-2,plate2,same_round,0.9723325791308273,-0.028057373445328104
fog_plate_aware_sync_2026-02-14,R3,PMBTA-8,260211-2,plate2,same_round,0.9820455001573665,-0.01811763752859483
fog_plate_aware_sync_2026-02-14,R3,PMBTA-9,260211-2,plate2,same_round,1.088632958703392,0.08492274278910855
fog_plate_aware_sync_2026-02-14,R3,PMPC,260211-2,plate2,same_round,0.8935917400668201,-0.11250627470449082
fog_plate_aware_sync_2026-02-14,R3,PMTAC,260211-2,plate2,same_round,0.7234327345180981,-0.32374770956437887
fog_plate_aware_sync_2026-02-14,R3,PMBTA-10,260211-3,plate2,same_round,1.214781028144728,0.19456383680106532
fog_plate_aware_sync_2026-02-14,R3,PMBTA-11,260211-3,plate2,same_round,1.1857882826442843,0.1704077708493964
fog_plate_aware_sync_2026-02-14,R3,PMBTA-6,260211-3,plate2,same_round,0.9568257686652994,-0.04413396401496802
fog_plate_aware_sync_2026-02-14,R3,PMBTA-7,260211-3,plate2,same_round,0.936976331034643,-0.06509725743134077
fog_plate_aware_sync_2026-02-14,R3,PMBTA-8,260211-3,plate2,same_round,1.1283591106903517,0.12076446295099506
fog_plate_aware_sync_2026-02-14,R3,PMBTA-9,260211-3,plate2,same_round,1.2003914453093976,0.18264770802535688
fog_plate_aware_sync_2026-02-14,R3,PMPC,260211-3,plate2,same_round,1.0315155530622881,0.031029131517568878
fog_plate_aware_sync_2026-02-14,R3,PMTAC,260211-3,plate2,same_round,1.072155687636434,0.0696712831077451
fog_plate_aware_sync_2026-02-14,R3,PMBTA-11,260211-plate7,plate2,same_round,1.193206720909037,0.1766444063186212
fog_plate_aware_sync_2026-02-14,R3,PMBTA-5,260211-plate7,plate2,same_round,1.0181357065699201,0.01797321628688026
