plate_id,well,row,col,heat_min,polymer_id,sample_name,source_file,status,abs_activity,slope,intercept,r2,n,t_start,t_end,select_method,select_method_used,exclude_reason,dy,mono_frac,down_steps,pos_steps,rmse,snr,start_idx_used,pos_steps_eps,pos_eps,skip_indices,skip_count,baseline_abs_activity,REA_percent
plate1,B5,B,5,20.0,GOx_0_4,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.0916667, -0.0533333]).",,,,,,,,,,,,,
plate1,B6,B,6,40.0,GOx_0_4,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.126667, -0.0847619]).",,,,,,,,,,,,,
plate1,C1,C,1,0.0,GOx_0_2,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.105952, -0.0714286]).",,,,,,,,,,,,,
plate1,C2,C,2,5.0,GOx_0_2,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.120952, -0.0777778]).",,,,,,,,,,,,,
plate1,C3,C,3,10.0,GOx_0_2,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.121905, -0.0552381]).",,,,,,,,,,,,,
plate1,C4,C,4,15.0,GOx_0_2,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.6171 (n=6, t_end=186s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,,
plate1,C5,C,5,20.0,GOx_0_2,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.184762, -0.138095]).",,,,,,,,,,,,,
plate1,C6,C,6,40.0,GOx_0_2,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.469524, -0.289524]).",,,,,,,,,,,,,
plate1,D1,D,1,0.0,GOx_0_1,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.189286, -0.11619]).",,,,,,,,,,,,,
plate1,D2,D,2,5.0,GOx_0_1,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.230476, -0.159048]).",,,,,,,,,,,,,
plate1,D3,D,3,10.0,GOx_0_1,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.394286, -0.266667]).",,,,,,,,,,,,,
plate1,D4,D,4,15.0,GOx_0_1,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.151429, -0.067619]).",,,,,,,,,,,,,
plate1,D5,D,5,20.0,GOx_0_1,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-1.76762, -1.08857]).",,,,,,,,,,,,,
plate1,D6,D,6,40.0,GOx_0_1,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-1.53619, -0.761905]).",,,,,,,,,,,,,
plate1,E1,E,1,0.0,GOx_0_8_second,,GOx_Concentration_afterheat.csv,ok,33.88999999999999,33.88999999999999,1919.0600000000018,0.995173746809304,5.0,6.0,126.0,initial_positive_ext_tangent,initial_positive_ext_tangent,,4061.0,1.0,0.0,5.0,100.12981573936905,40.55735017600013,0.0,4.0,354.71205,,0.0,33.88999999999999,100.0
plate1,E2,E,2,5.0,GOx_0_8_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.3462 (n=7, t_end=366s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,33.88999999999999,
plate1,E3,E,3,10.0,GOx_0_8_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.3333 (n=7, t_end=336s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,33.88999999999999,
plate1,E4,E,4,15.0,GOx_0_8_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.5365 (n=8, t_end=546s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,33.88999999999999,
plate1,E5,E,5,20.0,GOx_0_8_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.7714 (n=6, t_end=276s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,33.88999999999999,
plate1,E6,E,6,40.0,GOx_0_8_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.4286 (n=6, t_end=576s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,33.88999999999999,
plate1,F1,F,1,0.0,GOx_0_4_second,,GOx_Concentration_afterheat.csv,ok,18.28833333333333,18.28833333333333,1860.3366666666682,0.9911107574066572,9.0,6.0,246.0,initial_positive_ext_tangent,initial_positive_ext_tangent,,4395.0,1.0,0.0,5.0,134.15937868404458,32.75954348559203,0.0,5.0,143.44154999999998,,0.0,18.28833333333333,100.0
plate1,F2,F,2,5.0,GOx_0_4_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.4286 (n=6, t_end=276s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,18.28833333333333,
plate1,F3,F,3,10.0,GOx_0_4_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.6857 (n=6, t_end=486s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,18.28833333333333,
plate1,F4,F,4,15.0,GOx_0_4_second,,GOx_Concentration_afterheat.csv,ok,0.01238095238095239,0.01238095238095239,-4.998095238095245,0.8521008403361343,6.0,396.0,546.0,initial_positive,initial_positive,,1.5,1.0,0.0,2.0,0.2642749890573641,5.6759060149605425,2.0,0.0,1.11195,,0.0,18.28833333333333,0.06769863691398374
plate1,F5,F,5,20.0,GOx_0_4_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.7714 (n=6, t_end=366s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,18.28833333333333,
plate1,F6,F,6,40.0,GOx_0_4_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.3462 (n=7, t_end=486s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,18.28833333333333,
plate1,G1,G,1,0.0,GOx_0_2_second,,GOx_Concentration_afterheat.csv,ok,9.845757575757577,9.845757575757577,1426.5163636363632,0.997903379793226,11.0,6.0,306.0,initial_positive_ext_tangent,initial_positive_ext_tangent,,2952.0,1.0,0.0,5.0,42.814022187453645,68.94937334023697,0.0,5.0,44.477999999999994,,0.0,9.845757575757577,100.0
plate1,G2,G,2,5.0,GOx_0_2_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.4286 (n=6, t_end=546s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,9.845757575757577,
plate1,G3,G,3,10.0,GOx_0_2_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.2571 (n=8, t_end=216s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,9.845757575757577,
plate1,G4,G,4,15.0,GOx_0_2_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.5208 (n=7, t_end=186s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,9.845757575757577,
plate1,G5,G,5,20.0,GOx_0_2_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.2917 (n=8, t_end=426s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,9.845757575757577,
plate1,G6,G,6,40.0,GOx_0_2_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.0000 (n=8, t_end=216s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,9.845757575757577,
plate1,H1,H,1,0.0,GOx_0_1_second,,GOx_Concentration_afterheat.csv,ok,5.045974025974026,5.045974025974026,1365.8843290043303,0.9985417654061436,21.0,6.0,606.0,initial_positive_ext,initial_positive_ext,,679.0,1.0,0.0,5.0,6.556228106474598,103.5656461265206,0.0,5.0,17.7912,,0.0,5.045974025974026,100.0
plate1,H2,H,2,5.0,GOx_0_1_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.3333 (n=10, t_end=396s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,5.045974025974026,
plate1,H3,H,3,10.0,GOx_0_1_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates left after filtering: all slopes were below slope_min (slope_min=0, slope range=[-0.012381, -0.0047619]).",,,,,,,,,,,,5.045974025974026,
plate1,H4,H,4,15.0,GOx_0_1_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.5143 (n=6, t_end=516s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,5.045974025974026,
plate1,H5,H,5,20.0,GOx_0_1_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.4286 (n=6, t_end=516s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,5.045974025974026,
plate1,H6,H,6,40.0,GOx_0_1_second,,GOx_Concentration_afterheat.csv,excluded,,,,,,,,initial_positive,initial_positive,"No candidates met r2_min=0.8. Best was r2=0.4939 (n=6, t_end=576s). If you want to accept lower-quality fits, lower --r2_min.",,,,,,,,,,,,5.045974025974026,
