run_id,lineage_row_id,polymer_id,round_id,source_run_id,source_n_observations,source_objective_source
bo_learning_sync_2026-02-14,6,PMBTA-10,R3,260209-1,6,robust_round_aggregated
bo_learning_sync_2026-02-14,6,PMBTA-10,R3,260209-2,6,robust_round_aggregated
bo_learning_sync_2026-02-14,6,PMBTA-10,R3,260209-3,6,robust_round_aggregated
bo_learning_sync_2026-02-14,6,PMBTA-10,R3,260211-1,6,robust_round_aggregated
bo_learning_sync_2026-02-14,6,PMBTA-10,R3,260211-2,6,robust_round_aggregated
bo_learning_sync_2026-02-14,6,PMBTA-10,R3,260211-3,6,robust_round_aggregated
bo_learning_sync_2026-02-14,7,PMBTA-11,R3,260209-1,7,robust_round_aggregated
bo_learning_sync_2026-02-14,7,PMBTA-11,R3,260209-2,7,robust_round_aggregated
bo_learning_sync_2026-02-14,7,PMBTA-11,R3,260209-3,7,robust_round_aggregated
bo_learning_sync_2026-02-14,7,PMBTA-11,R3,260211-1,7,robust_round_aggregated
bo_learning_sync_2026-02-14,7,PMBTA-11,R3,260211-2,7,robust_round_aggregated
bo_learning_sync_2026-02-14,7,PMBTA-11,R3,260211-3,7,robust_round_aggregated
bo_learning_sync_2026-02-14,7,PMBTA-11,R3,260211-plate7,7,robust_round_aggregated
bo_learning_sync_2026-02-14,8,PMBTA-6,R3,260209-1,6,robust_round_aggregated
bo_learning_sync_2026-02-14,8,PMBTA-6,R3,260209-2,6,robust_round_aggregated
bo_learning_sync_2026-02-14,8,PMBTA-6,R3,260209-3,6,robust_round_aggregated
bo_learning_sync_2026-02-14,8,PMBTA-6,R3,260211-1,6,robust_round_aggregated
bo_learning_sync_2026-02-14,8,PMBTA-6,R3,260211-2,6,robust_round_aggregated
bo_learning_sync_2026-02-14,8,PMBTA-6,R3,260211-3,6,robust_round_aggregated
bo_learning_sync_2026-02-14,9,PMBTA-7,R3,260209-1,6,robust_round_aggregated
bo_learning_sync_2026-02-14,9,PMBTA-7,R3,260209-2,6,robust_round_aggregated
bo_learning_sync_2026-02-14,9,PMBTA-7,R3,260209-3,6,robust_round_aggregated
bo_learning_sync_2026-02-14,9,PMBTA-7,R3,260211-1,6,robust_round_aggregated
bo_learning_sync_2026-02-14,9,PMBTA-7,R3,260211-2,6,robust_round_aggregated
bo_learning_sync_2026-02-14,9,PMBTA-7,R3,260211-3,6,robust_round_aggregated
bo_learning_sync_2026-02-14,10,PMBTA-8,R3,260209-1,6,robust_round_aggregated
bo_learning_sync_2026-02-14,10,PMBTA-8,R3,260209-2,6,robust_round_aggregated
bo_learning_sync_2026-02-14,10,PMBTA-8,R3,260209-3,6,robust_round_aggregated
bo_learning_sync_2026-02-14,10,PMBTA-8,R3,260211-1,6,robust_round_aggregated
bo_learning_sync_2026-02-14,10,PMBTA-8,R3,260211-2,6,robust_round_aggregated
bo_learning_sync_2026-02-14,10,PMBTA-8,R3,260211-3,6,robust_round_aggregated
bo_learning_sync_2026-02-14,11,PMBTA-9,R3,260209-1,6,robust_round_aggregated
bo_learning_sync_2026-02-14,11,PMBTA-9,R3,260209-2,6,robust_round_aggregated
bo_learning_sync_2026-02-14,11,PMBTA-9,R3,260209-3,6,robust_round_aggregated
bo_learning_sync_2026-02-14,11,PMBTA-9,R3,260211-1,6,robust_round_aggregated
bo_learning_sync_2026-02-14,11,PMBTA-9,R3,260211-2,6,robust_round_aggregated
bo_learning_sync_2026-02-14,11,PMBTA-9,R3,260211-3,6,robust_round_aggregated
bo_learning_sync_2026-02-14,12,PMTAC,R3,260209-1,6,robust_round_aggregated
bo_learning_sync_2026-02-14,12,PMTAC,R3,260209-2,6,robust_round_aggregated
bo_learning_sync_2026-02-14,12,PMTAC,R3,260209-3,6,robust_round_aggregated
bo_learning_sync_2026-02-14,12,PMTAC,R3,260211-1,6,robust_round_aggregated
bo_learning_sync_2026-02-14,12,PMTAC,R3,260211-2,6,robust_round_aggregated
bo_learning_sync_2026-02-14,12,PMTAC,R3,260211-3,6,robust_round_aggregated
